species,circRNA name,Position,Function,Gene,Gene Description,PMID
Drosophila melanogaster,chr2L:3094218-3098065,chr2L:3094218-3098065,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:317744-318120,chr2L:317744-318120,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:4192634-4195100,chr2L:4192634-4195100,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:4504778-4513761,chr2L:4504778-4513761,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:5274020-5275780,chr2L:5274020-5275780,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:6679987-6680542,chr2L:6679987-6680542,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:6699766-6701944,chr2L:6699766-6701944,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:7107142-7107551,chr2L:7107142-7107551,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:7209350-7209653,chr2L:7209350-7209653,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:7234528-7234997,chr2L:7234528-7234997,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:8283410-8284220,chr2L:8283410-8284220,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:8664159-8665518,chr2L:8664159-8665518,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:9055021-9055412,chr2L:9055021-9055412,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:9126882-9135384,chr2L:9126882-9135384,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:9732917-9733532,chr2L:9732917-9733532,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:9742376-9744230,chr2L:9742376-9744230,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:1035707-1036661,chr2R:1035707-1036661,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:1035707-1041569,chr2R:1035707-1041569,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:10450517-10450890,chr2R:10450517-10450890,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:10450517-10452578,chr2R:10450517-10452578,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:10848892-10849346,chr2R:10848892-10849346,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:1091258-1091783,chr2R:1091258-1091783,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:1129402-1130087,chr2R:1129402-1130087,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:12646758-12648219,chr2R:12646758-12648219,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:12818618-12820083,chr2R:12818618-12820083,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:12900791-12901501,chr2R:12900791-12901501,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:13162916-13183381,chr2R:13162916-13183381,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:13162916-13193542,chr2R:13162916-13193542,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:13789214-13791184,chr2R:13789214-13791184,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:13866294-13867045,chr2R:13866294-13867045,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:14913384-14914812,chr2R:14913384-14914812,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:14981546-14984014,chr2R:14981546-14984014,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15365122-15366370,chr2R:15365122-15366370,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15370458-15371712,chr2R:15370458-15371712,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15453655-15461831,chr2R:15453655-15461831,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15461494-15461831,chr2R:15461494-15461831,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15461509-15461831,chr2R:15461509-15461831,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:15515987-15516575,chr2R:15515987-15516575,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:17537617-17538297,chr2R:17537617-17538297,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:18050411-18052494,chr2R:18050411-18052494,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:18226307-18229100,chr2R:18226307-18229100,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:18226307-18230235,chr2R:18226307-18230235,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:18611443-18615190,chr2R:18611443-18615190,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:18765680-18767565,chr2R:18765680-18767565,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:238055-238723,chr2R:238055-238723,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:3489938-3493749,chr2R:3489938-3493749,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:450351-450586,chr2R:450351-450586,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:4565936-4566639,chr2R:4565936-4566639,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:4937386-4938656,chr2R:4937386-4938656,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:494270-494825,chr2R:494270-494825,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:5119254-5120237,chr2R:5119254-5120237,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:5291213-5291963,chr2R:5291213-5291963,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:5806953-5809508,chr2R:5806953-5809508,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:6016087-6016534,chr2R:6016087-6016534,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:607276-607715,chr2R:607276-607715,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:607276-609830,chr2R:607276-609830,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:9068496-9070739,chr2R:9068496-9070739,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:9072283-9075413,chr2R:9072283-9075413,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:9331934-9332643,chr2R:9331934-9332643,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:9696781-9698341,chr2R:9696781-9698341,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2R:9804360-9805415,chr2R:9804360-9805415,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:1293057-1293393,chr2RHet:1293057-1293393,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:2819382-2819665,chr2RHet:2819382-2819665,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:3136956-3175043,chr2RHet:3136956-3175043,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:494134-495242,chr2RHet:494134-495242,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:738244-738976,chr2RHet:738244-738976,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2RHet:796084-862303,chr2RHet:796084-862303,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:10499171-10499663,chr3L:10499171-10499663,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:10568420-10570424,chr3L:10568420-10570424,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:12844410-12845377,chr3L:12844410-12845377,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:135459-136335,chr3L:135459-136335,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:14660360-14660841,chr3L:14660360-14660841,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:14744368-14744875,chr3L:14744368-14744875,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:15851202-15853126,chr3L:15851202-15853126,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:15940009-15940679,chr3L:15940009-15940679,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:16708542-16709937,chr3L:16708542-16709937,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:16905230-16906498,chr3L:16905230-16906498,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:1723581-1724225,chr3L:1723581-1724225,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:17709068-17709285,chr3L:17709068-17709285,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:19364187-19366683,chr3L:19364187-19366683,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:20847706-20848391,chr3L:20847706-20848391,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:21181888-21183072,chr3L:21181888-21183072,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23022938-23025301,chr3L:23022938-23025301,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23203953-23209207,chr3L:23203953-23209207,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23203953-23220647,chr3L:23203953-23220647,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23255809-23257464,chr3L:23255809-23257464,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23255809-23271562,chr3L:23255809-23271562,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23262505-23271562,chr3L:23262505-23271562,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23866711-23867531,chr3L:23866711-23867531,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23882206-23883306,chr3L:23882206-23883306,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23882206-23905555,chr3L:23882206-23905555,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:23927516-23928221,chr3L:23927516-23928221,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:24246894-24251736,chr3L:24246894-24251736,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:2524600-2525718,chr3L:2524600-2525718,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:313025-314317,chr3L:313025-314317,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:3310521-3310896,chr3L:3310521-3310896,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:4577918-4580159,chr3L:4577918-4580159,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:4674957-4675947,chr3L:4674957-4675947,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:4912673-4913956,chr3L:4912673-4913956,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:6516131-6527802,chr3L:6516131-6527802,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7104165-7104901,chr3L:7104165-7104901,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7506919-7507454,chr3L:7506919-7507454,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7649476-7654606,chr3L:7649476-7654606,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7655082-7655990,chr3L:7655082-7655990,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7655572-7655990,chr3L:7655572-7655990,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:7655572-7656424,chr3L:7655572-7656424,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:8258995-8260173,chr3L:8258995-8260173,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:8270956-8273066,chr3L:8270956-8273066,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:8462511-8462791,chr3L:8462511-8462791,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:8628782-8630698,chr3L:8628782-8630698,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:9100055-9101291,chr3L:9100055-9101291,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:9100443-9101291,chr3L:9100443-9101291,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:9151042-9156074,chr3L:9151042-9156074,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3L:9152711-9156074,chr3L:9152711-9156074,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:1256560-1257083,chr3LHet:1256560-1257083,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:1315896-1344239,chr3LHet:1315896-1344239,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:1344060-1352326,chr3LHet:1344060-1352326,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:1351734-1352326,chr3LHet:1351734-1352326,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:1351734-1360849,chr3LHet:1351734-1360849,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:209157-209624,chr3LHet:209157-209624,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3LHet:789082-789756,chr3LHet:789082-789756,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:108397-121422,chr3R:108397-121422,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:11120836-11121266,chr3R:11120836-11121266,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:11898412-11903259,chr3R:11898412-11903259,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:11902837-11903259,chr3R:11902837-11903259,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:11992259-11992987,chr3R:11992259-11992987,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:12124193-12125411,chr3R:12124193-12125411,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:123211-124307,chr3R:123211-124307,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:12338687-12339898,chr3R:12338687-12339898,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:12402646-12404869,chr3R:12402646-12404869,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:12890439-12890683,chr3R:12890439-12890683,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:13835671-13836296,chr3R:13835671-13836296,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:14913128-14914022,chr3R:14913128-14914022,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:15380541-15388548,chr3R:15380541-15388548,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:15585988-15586756,chr3R:15585988-15586756,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:15585988-15592369,chr3R:15585988-15592369,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:15589321-15592369,chr3R:15589321-15592369,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:16789448-16789915,chr3R:16789448-16789915,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:16817964-16820145,chr3R:16817964-16820145,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:18282274-18283199,chr3R:18282274-18283199,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:18778724-18779190,chr3R:18778724-18779190,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:19437616-19442044,chr3R:19437616-19442044,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:19838706-19839350,chr3R:19838706-19839350,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:20502967-20513019,chr3R:20502967-20513019,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:20512910-20517655,chr3R:20512910-20517655,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:21535014-21535869,chr3R:21535014-21535869,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:21871192-21871549,chr3R:21871192-21871549,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:22410023-22416439,chr3R:22410023-22416439,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:23490139-23491967,chr3R:23490139-23491967,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:23492832-23493790,chr3R:23492832-23493790,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:24060798-24061175,chr3R:24060798-24061175,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:25006882-25007594,chr3R:25006882-25007594,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:25422964-25423630,chr3R:25422964-25423630,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:25935018-25936340,chr3R:25935018-25936340,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:26625761-26626685,chr3R:26625761-26626685,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:26976117-26976434,chr3R:26976117-26976434,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:26976117-26977692,chr3R:26976117-26977692,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:26979750-26980789,chr3R:26979750-26980789,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:3019316-3020180,chr3R:3019316-3020180,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:3428827-3431190,chr3R:3428827-3431190,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:3684661-3691483,chr3R:3684661-3691483,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:3689984-3690636,chr3R:3689984-3690636,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:3689984-3691483,chr3R:3689984-3691483,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:5257752-5258561,chr3R:5257752-5258561,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:5257755-5258561,chr3R:5257755-5258561,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:5372521-5375532,chr3R:5372521-5375532,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:6019583-6030038,chr3R:6019583-6030038,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:6692252-6692698,chr3R:6692252-6692698,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:6849191-6849539,chr3R:6849191-6849539,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:7047898-7048451,chr3R:7047898-7048451,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:7580071-7580246,chr3R:7580071-7580246,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:8449986-8450265,chr3R:8449986-8450265,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:8845065-8850766,chr3R:8845065-8850766,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:8953833-8958815,chr3R:8953833-8958815,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3R:9582906-9583505,chr3R:9582906-9583505,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3RHet:1702562-1703297,chr3RHet:1702562-1703297,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3RHet:1935276-1937280,chr3RHet:1935276-1937280,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr3RHet:2437713-2439757,chr3RHet:2437713-2439757,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1012693-1018509,chr4:1012693-1018509,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1012693-1019331,chr4:1012693-1019331,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1017139-1018509,chr4:1017139-1018509,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1017139-1025244,chr4:1017139-1025244,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1138478-1142248,chr4:1138478-1142248,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1140564-1141427,chr4:1140564-1141427,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1150062-1151212,chr4:1150062-1151212,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1185509-1187478,chr4:1185509-1187478,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1236856-1238525,chr4:1236856-1238525,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1236856-1245623,chr4:1236856-1245623,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1250829-1254609,chr4:1250829-1254609,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1250829-1259724,chr4:1250829-1259724,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1250829-1265819,chr4:1250829-1265819,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:1252030-1252562,chr4:1252030-1252562,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:257022-261459,chr4:257022-261459,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:302351-303364,chr4:302351-303364,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:322869-323152,chr4:322869-323152,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:470551-471135,chr4:470551-471135,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:495587-497728,chr4:495587-497728,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:544958-547146,chr4:544958-547146,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:659642-664781,chr4:659642-664781,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr4:919020-924097,chr4:919020-924097,Head development [differential expression (during head development)],-,-,25544350
