Species,circRNA name,circAltas ID,Uniform ID,Strand,Host gene,Disease_Name,Expression Pattern,PMID,miRNA
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Ovarian cancer,Upregulated,31945729,unknown
human,hsa_circ_0006892,hsa-PI4KB_0002,circPI4KB(2).1,-,PI4KB,Chronic obstructive pulmonary disease,Upregulated,33734482,unknown
human,hsa_circ_0014235,unknown,unknown,-,S100A2,Lung cancer,Upregulated,32309852,unknown
human,hsa_circ_0014243,unknown,unknown,+,CHTOP,Essential hypertension,Upregulated,30783441,unknown
human,hsa_circ_0014350,unknown,unknown,-,RAB13,Myocarditis,Upregulated,31198064,unknown
human,hsa_circ_0014359,unknown,unknown,-,NUP210L,Glioblastoma,Upregulated,30745107,miR-153
human,hsa_circ_0014614,hsa-DAP3_0001,"circDAP3(RI,5,6).1",+,DAP3,Proliferative diabetic retinopathy,Upregulated,31749049,unknown
human,hsa_circ_0014635,unknown,unknown,-,KIAA0907,Proliferative vitreoretinopathy,Upregulated,30597308,unknown
human,hsa_circ_0005758,hsa-KIAA0907_0003,"circKHDC4(8,9,10).1",-,KIAA0907,Gastric cancer,Downregulated,31328820,unknown
human,hsa_circ_0000140,hsa-KIAA0907_0002,"circKHDC4(7,9,10).1",-,KIAA0907,Gastric cancer,Downregulated,25689795,"miR-185-3p,miR-4638-3p"
human,hsa_circ_0000140,hsa-KIAA0907_0002,"circKHDC4(7,9,10).1",-,KIAA0907,Oral squamous cell carcinoma,unknown,25689795,"miR-195-5p,miR-29a-3p,miR-29c-3p,CDC42,AR"
human,hsa_circ_0000142,hsa-CCT3_0008,"circCCT3(9,10).1",-,CCT3,Multiple myeloma,Upregulated,32970816,unknown
human,hsa_circ_0014717,hsa-CCT3_0013,"circCCT3(3,4,5,6,7).1",-,CCT3,Hepatocellular carcinoma,Upregulated,33598424,unknown
human,hsa_circ_0014717,hsa-CCT3_0013,"circCCT3(3,4,5,6,7).1",-,CCT3,Colorectal cancer,Downregulated,29571246,unknown
human,hsa_circ_0004680,hsa-CCT3_0003,"circCCT3(3,4,5).1",-,CCT3,Colorectal cancer,Upregulated,31859543,unknown
human,hsa_circ_0004680,hsa-CCT3_0003,"circCCT3(3,4,5).1",-,CCT3,Gastric cancer,Downregulated,28288173,"hsa-miR-141-5p,hsa-miR-625-5p,hsa-miR-143-3p,hsa-miR-124-5p,hsa-miR-191-3p"
human,hsa_circ_014724,hsa-CCT3_0004,"circCCT3(2,3,4,5).1",-,CCT4,Hepatic steatosis,unknown,28717649,unknown
human,hsa_circETV3,unknown,unknown,unknown,ETV3,Prostate cancer,Upregulated,30416748,unknown
human,hsa_circ_0000005,hsa-RP1-283E3_0030,"circSLC35E2B(1,2,3,4,5,6,7,8,9,L10)::CDK11B(1L,2,3)::CDK11A(4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1",-,CDK11A,Glioblastoma,Upregulated,30736838,unknown
human,hsa_circ_0000006,hsa-SLC35E2_0005,"circSLC35E2B(7L,8).1",-,SLC35E2B,Osteosarcoma,Upregulated,31907361,unknown
human,hsa_circ_0014879,hsa-DCAF8_0050,circDCAF8(6L).1,-,DCAF8,radioresistant esophageal cancer cells,Upregulated,27465405,unknown
human,hsa_circ_0000144,unknown,unknown,+,SLAMF6,Gastric cancer,Upregulated,28737829,unknown
human,hsa_circ_0000144,unknown,unknown,+,SLAMF6,Thyroid cancer,Upregulated,32890417,unknown
human,hsa_circ_0000144,unknown,unknown,+,SLAMF6,Bladder cancer,Upregulated,30098434,unknown
human,hsa_circ_0010090,unknown,unknown,+,FBLIM1,Hepatocellular carcinoma,Upregulated,30053867,miR-346
human,hsa_circ_0014961,unknown,unknown,-,USF1,Breast cancer,unknown,28933584,unknown
human,hsa_circSDHC,hsa-SDHC_0003,"circSDHC(2,3,4,5).1",+,SDHC,Renal cell carcinoma,Upregulated,33468140,unknown
human,hsa_circ_0000147,unknown,unknown,+,UCK2,Prostate cancer,Downregulated,31844675,unknown
human,hsa_circ_0000154,hsa-DCAF6_0001,"circDCAF6(2,3,4).1",+,DCAF6,Gastric cancer,Downregulated,28544609,miR-558
human,hsa_circ_0009109,hsa-DCAF6_0017,"circDCAF6(3,4).1",+,DCAF6,Gastric cancer,Upregulated,31226266,unknown
human,hsa_circ_0000543,unknown,unknown,+,unknown,Gastric cancer,Upregulated,28184940,unknown
human,hsa_circ_0015115,unknown,unknown,+,unknown,T2DM with depression,Upregulated,28779132,unknown
human,hsa_circ_0004370,hsa-PRRX1_0001,"circPRRX1(2,3).1",+,PRRX1,Gastric cancer,Upregulated,33201331,unknown
human,hsa_circ_0004370,hsa-PRRX1_0001,"circPRRX1(2,3).1",+,PRRX1,Esophageal cancer,Upregulated,30988074,unknown
human,hsa_circDNM3OS,hsa-DNM3OS_0001,circDNM3(I014).1,-,DNM3OS,Cholangiocarcinoma,Upregulated,33628035,unknown
human,hsa_circ_0015260,hsa-SUCO_0001,"circSUCO(2,3,4,5,8,9,10,11,12,13,14,15).1",+,C1orf9,Osteoarthritis,Downregulated,31190410,unknown
human,hsa_circ_0010170,unknown,unknown,-,MFAP2,Pterygium,Upregulated,29949792,unknown
human,hsa_circ_100395,hsa-KLHL20_0011,"circKLHL20(7,8,9,10).1",unknown,unknown,Liver cancer,Downregulated,31421050,unknown
human,hsa_circ_0015278,hsa-KLHL20_0011,"circKLHL20(7,8,9,10).1",unknown,KLHL20,Ovarian cancer,Downregulated,31942183,unknown
human,hsa_circ_0015278,hsa-KLHL20_0011,"circKLHL20(7,8,9,10).1",+,KLHL20,Lung cancer,Downregulated,30176158,unknown
human,hsa_circ_0015278,hsa-KLHL20_0011,"circKLHL20(7,8,9,10).1",+,KLHL20,Papillary thyroid carcinoma,Downregulated,28288173,"hsa-miR-141-3p, hsa-miR-588, hsa-miR-660-3p, hsa-miR-136-5p, hsa-miR-200a-3p"
human,hsa_circ_0015288,unknown,unknown,-,GAS5,Pterygium,Upregulated,29949792,unknown
human,hsa_circ_0015295,unknown,unknown,-,GAS5,Pterygium,Upregulated,29949792,unknown
human,hsa_circ_0015310,unknown,unknown,-,GAS5,Pterygium,Upregulated,29949792,unknown
human,hsa_circ_0015326,hsa-RABGAP1L_0068,"circRABGAP1L(2,3,4).1",+,RABGAP1L,Ovarian cancer,Upregulated,33732019,unknown
human,hsa_circ_0009361,hsa-GNB1_0008,"circGNB1(2,3,4).1",-,GNB1,Colorectal cancer,Downregulated,31109967,unknown
human,hsa_circ_0009362,hsa-GNB1_0006,"circGNB1(2,3).1",-,GNB1,Triple negative breast cancer,Upregulated,32194644,unknown
human,hsa_circ_0015350,unknown,unknown,-,RFWD2,Breast cancer,unknown,28933584,unknown
human,hsa_circ_0111277,hsa-PAPPA2_0018,"circPAPPA2(13,14,17).1",+,PAPPA2,Preeclampsia,Upregulated,32587240,unknown
human,hsa_circ_0010220,unknown,unknown,+,ARHGEF10L,Osteosarcoma,Downregulated,32827680,unknown
human,hsa_circ_0015449,hsa-SOAT1_0017,"circSOAT1(8,9,10).1",+,SOAT1,Basal cell carcinoma,Downregulated,27097056,unknown
human,hsa_circ_0005909,hsa-XPR1_0008,"circXPR1(8,9).1",+,XPR1,Osteosarcoma,Upregulated,30153287,miR-936
human,hsa_circRNA3683,hsa-STX6_0008,"circSTX6(4,5,L6).1",-,STX6,Herpes Simplex Virus1 Infection,unknown,29972822,unknown
human,hsa_circRNA8505,hsa-LAMC1_0009,"circLAMC1(5,6).1",+,LAMC1,Esophageal cancer,Upregulated,29218114,unknown
human,hsa_circRNA8506,hsa-LAMC1_0002,"circLAMC1(22,23,24).1",+,LAMC1,Esophageal cancer,Upregulated,29218114,unknown
human,hsa_circRNA8507,hsa-LAMC2_0001,"circLAMC2(13,14,15,16,17,18,19).1",+,LAMC2,Esophageal cancer,Upregulated,29218114,unknown
human,hsa_circ_0015703,unknown,unknown,unknown,unknown,Breast cancer,unknown,26472973,unknown
human,hsa_circ_0015729,unknown,unknown,-,PTGS2,Proliferative vitreoretinopathy,Upregulated,30597308,unknown
human,hsa_circ_0015729,unknown,unknown,-,PTGS2,Uterine leiomyoma,Downregulated,32976932,unknown
human,hsa_circ_0010235,unknown,unknown,-,ALDH4A1,Non-small cell lung cancer,Upregulated,33494763,unknown
human,hsa_circ_0010283,hsa-UBR4_0111,circUBR4(L45).1,-,UBR4,Atherosclerosis,Upregulated,32945389,unknown
human,has_circ_0015758,unknown,unknown,+,CFH,Glioblastoma,Upregulated,30111766,unknown
human,hsa_circ_0015756,unknown,unknown,+,CFH,Hepatocellular carcinoma,Downregulated,32884351,unknown
human,hsa_circ_0015756,unknown,unknown,+,CFH,Ovarian cancer,Upregulated,33292255,unknown
human,hsa_circ_0015879,unknown,unknown,+,PKP1,Tuberculosis,Upregulated,30214434,unknown
human,hsa_circ_0000172,unknown,unknown,-,CSRP1,Bladder cancer,Upregulated,29558461,unknown
human,hsa_circ_0015962,hsa-RNPEP_0005,"circRNPEP(5,6).1",+,RNPEP,Dengue fever,Upregulated,31857645,unknown
human,hsa_circ_0016068,unknown,unknown,+,BTG2,Prostate cancer,Upregulated,32984325,unknown
human,hsa_circ_0016070,unknown,unknown,+,ATP2B4,Pulmonary arterial hypertension,Upregulated,31593832,unknown
human,hsa_circ_0004777,hsa-SOX13_0004,"circSOX13(2,L3,4).1",+,SOX13,Basal cell carcinoma,Upregulated,27097056,unknown
human,hsa_circ_0004777,hsa-SOX13_0004,"circSOX13(2,L3,4).1",+,SOX13,Lung cancer,Downregulated,30787976,unknown
human,hsa_circ_0003344,hsa-TMCC2_0001,circTMCC2(3).1,+,TMCC2,Steroid-induced osteonecrosis of the femoral head,Upregulated,31827647,unknown
human,hsa_circ_0000175,hsa-ELK4_0002,"circELK4(2,3,4,S5).1",-,ELK4,Systemic lupus erythematosus,Downregulated,32093518,unknown
human,hsa_circ_0141539,hsa-C1orf116_0001,circC1orf116(2).1,-,C1orf116,Cervical cancer,Upregulated,30007986,unknown
human,hsa_circ_0000177,unknown,unknown,+,CR1,Glioblastoma,Upregulated,30010402,unknown
human,hsa_circ_0016347,hsa-KCNH1_0005,circKCNH1(7L).2,unknown,KCNH1,Osteosarcoma,Upregulated,28424426,unknown
human,hsa_circ_0016403,hsa-TATDN3_0029,circTATDN3(4L).1,+,TATDN3,Nonfunctioning pituitary adenomas,Downregulated,29909209,unknown
human,hsa_circ_0000181,hsa-TATDN3_0001,"circTATDN3(6,7,8).1",+,TATDN3,Gastric cancer,Downregulated,28940688,unknown
human,hsa_circ_0016418,hsa-VASH2_0002,"circVASH2(3,7).1",+,VASH2,Skin melanoma,Upregulated,31858560,unknown
human,hsa_circRNA_100084,hsa-EIF4G3_0060,"circEIF4G3(3,4,5).1",unknown,EIF4G3,Hepatocellular carcinoma,Upregulated,32323783,unknown
human,hsa_circ_0005075,hsa-EIF4G3_0080,"circEIF4G3(3L,4).1",-,EIF4G3,Cervical cancer,Upregulated,32407167,unknown
human,hsa_circ_0005075,hsa-EIF4G3_0080,"circEIF4G3(3L,4).1",-,EIF4G3,Colorectal cancer,Upregulated,30446877,unknown
human,hsa_circ_0000026,hsa-EIF4G3_0080,"circEIF4G3(3L,4).1",-,EIF4G3,Gastric cancer,Downregulated,28737829,unknown
human,hsa_circ_0005075,hsa-EIF4G3_0080,"circEIF4G3(3L,4).1",-,EIF4G3,Hepatocellular carcinoma,Upregulated,27258521,unknown
human,hsa_circ_0005075,hsa-EIF4G3_0080,"circEIF4G3(3L,4).1",-,unknown,Gastric cancer,Upregulated,32133664,unknown
human,hsa_circ_0002402,hsa-ECE1_0001,"circECE1(2,3,4).1",-,ECE1,Osteosarcoma,Upregulated&nbsp;,33106166,unknown
human,hsa_circ_0004417,hsa-RP11-135J2_0001,"circLYPLAL1(3,4,5S).1",+,LYPLAL1,Lung cancer,Downregulated,30787976,unknown
human,hsa_circ_0112085,hsa-MARC2_0004,circMTARC2(L4).1,+,MARC2,Heart failure,Upregulated,31991759,unknown
human,hsa_circ_0010567,unknown,unknown,-,HSPG2,Breast cancer,unknown,28933584,unknown
human,hsa_circ_0010575,unknown,unknown,-,HSPG2,Colon cancer,Upregulated,32158464,unknown
human,hsa_circ_0010729,unknown,unknown,-,HSPG2,Hypoxia-induced cardiomyocyte injuries,Upregulated&nbsp;,33010282,unknown
human,hsa_circ_0005576,hsa-CDC42_0001,"circCDC42(2,5).1",+,CDC42,Cervical cancer,Upregulated,31545253,unknown
human,hsa_circ_0000190,hsa-CNIH4_0001,"circCNIH4(3,4).1",+,CNIH4,Gastric cancer,Downregulated,28130019,unknown
human,hsa_circ_0000190,hsa-CNIH4_0001,"circCNIH4(3,4).1",+,CNIH4,Multiple myeloma,Downregulated,30728056,miR-767-5p
human,hsa_circ_0000190,hsa-CNIH4_0001,"circCNIH4(3,4).1",+,CNIH4,Osteosarcoma,Downregulated,31923350,unknown
human,hsa_circ_0002577,hsa-WDR26_0004,"circWDR26(5,6,7).1",-,WDR26,Endometrial cancer,Upregulated,29334253,unknown
human,hsa_circ_0002137,hsa-CNIH3_0001,"circCNIH3(4,5).1",+,CNIH3,Osteosarcoma,Downregulated,33621401,unknown
human,hsa_circ_0016624,unknown,unknown,+,DNAH14,Osteoporosis,Downregulated,31235259,unknown
human,hsa_circ_0016628,unknown,unknown,+,DNAH14,Uterine leiomyoma,Upregulated,32976932,unknown
human,hsa_circ_0016723,hsa-PSEN2_0002,"circPSEN2(6,7,8).1",+,PSEN2,Breast cancer,unknown,28933584,unknown
human,hsa_circ_0016760,hsa-SNAP47_0003,"circSNAP47(2,3).1",+,SNAP47,Non-small cell lung cancer,Upregulated,29440731,miR-577
human,hsa_circ_0016788,unknown,unknown,-,TRIM11,Hepatocellular carcinoma,Upregulated,29923236,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Breast cancer,Upregulated,28744405,miR-1271
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Hepatocellular carcinoma,Downregulated,32196586,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Non-small cell lung cancer,Upregulated,30417418,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Rectal cancer,Upregulated,32567935,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Osteosarcoma,Upregulated,29854278,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Clear cell renal cell carcinoma,Upregulated,31106654,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Epithelial ovarian cancer,Downregulated,33760208,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Glioblastoma,Upregulated,32633377,unknown
human,hsa_circ_0008717,hsa-ABCB10_0009,"circABCB10(4,5S,6,7,8).1",-,ABCB10,Thyroid cancer,Upregulated,32096158,unknown
human,hsa_circ_0016901,unknown,unknown,+,TSNAX-DISC1,Breast cancer,unknown,28933584,unknown
human,hsa_circRNA_406752,unknown,unknown,unknown,PCNXL2,Clear cell renal cell carcinoma,Upregulated,30488762,unknown
human,hsa_circ_0009061,hsa-KDM1A_0031,"circKDM1A(2,3,4).1",+,KDM1A,Prostate cancer,Downregulated,31198063,unknown
human,hsa_circ_0017068,hsa-B3GALNT2_0080,"circB3GALNT2(3,L5).1",-,B3GALNT2,Preeclampsia,Downregulated,31487644,unknown
human,hsa_circ_0002343,hsa-B3GALNT2_0002,"circB3GALNT2(2,3,4,5).1",-,B3GALNT2,Cervical cancer,Upregulated,28080204,unknown
human,hsa_circ_0000030,unknown,unknown,unknown,E2F2,Ovarian cancer,Upregulated,33894314,unknown
human,hsa_circ_0010882,unknown,unknown,+,RPL11,Gastric cancer,Upregulated,32096170,unknown
human,hsa_circ_0005100,hsa-FMN2_0001,"circFMN2(8,9,10L).1",+,FMN2,Colorectal cancer,Upregulated,31738400,unknown
human,hsa_circ_0005100,hsa-FMN2_0001,"circFMN2(8,9,10L).1",+,FMN2,Prostate cancer,Downregulated,32526477,unknown
human,hsa_circ_0000199,hsa-AKT3_0008,"circAKT3(9,10,11,12).1",-,AKT3,Gastric cancer,Upregulated,30927924,unknown
human,hsa_circ_0000199,hsa-AKT3_0008,"circAKT3(9,10,11,12).1",-,AKT3,Glioblastoma,Downregulated,28236760,unknown
human,hsa_circ_0017247,hsa-AKT3_0014,"circAKT3(3,4,5,6,7,8,9).1",-,AKT3,Bladder cancer,Upregulated,32096177,unknown
human,hsa_circ_0017247,hsa-AKT3_0014,"circAKT3(3,4,5,6,7,8,9).1",-,AKT3,Melanoma,Upregulated,32141562,unknown
human,hsa_circ_0017248,unknown,unknown,-,AKT3,Ovarian endometriosis,Upregulated,29490568,unknown
human,hsa_circ_0017250,hsa-AKT3_0003,"circAKT3(4,5,6,7,8).1",-,AKT3,Glioblastoma,Downregulated,31470874,unknown
human,hsa_circ_0017252,unknown,unknown,-,AKT3,Clear cell renal cell carcinoma,Downregulated,31672157,unknown
human,hsa_circ_0017252,unknown,unknown,-,AKT3,Hepatocellular carcinoma,Upregulated,32561093,unknown
human,circ_EFCAB2,hsa-EFCAB2_0002,"circEFCAB2(3,4).1",+,EFCAB2,Temporal Lobe Epilepsy,unknown,29428937,unknown
human,hsa_circ_0017311,hsa-CNST_0002,"circCNST(3S,4,5,6).1",+,CNST,Osteosarcoma,Upregulated,32693639,unknown
